ID,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,Nb_Ventes,PrixMoyen_M2,LATITUDE,LONGITUDE
COMMUNE_0000000009755009,33035,33,75,200023794.0,BAYON SUR GIRONDE,696,12.0,1383.0,45.0557839,-0.5997887
COMMUNE_0000000009756542,33294,33,75,200044394.0,MORIZES,545,4.0,1340.0,44.6119733,-0.0898523
COMMUNE_0000000009755878,33252,33,75,243301215.0,LOUPES,775,8.0,2831.0,44.80475,-0.39407
COMMUNE_0000000009755403,33243,33,75,200070092.0,LIBOURNE,24880,467.0,2186.0,44.9133742,-0.2427217
COMMUNE_0000000009755201,33259,33,75,243301397.0,LUGON ET L ILE DU CARNAY,1266,22.0,2007.0,44.9569435,-0.3435962
COMMUNE_0000000009756323,33419,33,75,200069599.0,SAINT HILAIRE DU BOIS,76,1.0,1044.0,44.6645557,-0.0861818
COMMUNE_0000000009756339,33327,33,75,200069581.0,PODENSAC,3201,36.0,2008.0,44.6508185,-0.3557651
COMMUNE_0000000009756536,33304,33,75,200069599.0,NEUFFONS,155,,,44.6443496,0.0121444
COMMUNE_0000000009755843,33210,33,75,243301454.0,JUILLAC,250,1.0,765.0,44.8116925,0.0408665
COMMUNE_0000000009756324,33399,33,75,200069599.0,SAINT FELIX DE FONCAUDE,292,3.0,1244.0,44.6521587,-0.09941189745762882
COMMUNE_0000000009755838,33369,33,75,243301371.0,SAINT ANDRE ET APPELLES,698,10.0,1225.0,44.80745725,0.20195236168760658
COMMUNE_0000000009757198,33216,33,75,200043982.0,LADOS,176,2.0,1227.0,44.46692,-0.14857
COMMUNE_0000000009755011,33211,33,75,243301447.0,LABARDE,589,9.0,2078.0,45.0225405,-0.6385155
COMMUNE_0000000009755854,33064,33,75,243301454.0,BOSSUGAN,43,,,44.7920251,-0.0465995
COMMUNE_0000000009755847,33361,33,75,243301454.0,RUCH,601,5.0,1742.0,44.7765106,-0.0387488
COMMUNE_0000000009755836,33246,33,75,243301371.0,LIGUEUX,173,1.0,1344.0,44.7862068,0.2692646
COMMUNE_0000000009753928,33326,33,75,243300811.0,PLEINE SELVE,220,6.0,1353.0,49.7916667,3.5280556
COMMUNE_0000000009755894,33005,33,75,243301504.0,ANDERNOS LES BAINS,11873,247.0,4507.0,44.7476897,-1.0925184
COMMUNE_0000000009754978,33373,33,75,200070092.0,SAINT ANTOINE SUR L ISLE,584,12.0,934.0,45.027473,0.0386402
COMMUNE_0000000009754164,33073,33,75,243300811.0,BRAUD ET SAINT LOUIS,1597,21.0,1127.0,45.2477844,-0.6259483
COMMUNE_0000000009756791,33465,33,75,200043974.0,SAINT PIERRE DE MONS,1184,14.0,1804.0,44.5504992,-0.2246846
COMMUNE_0000000009754780,33341,33,75,243301223.0,PUGNAC,2292,31.0,1997.0,45.0816918,-0.4956194
COMMUNE_0000000009755643,33069,33,75,243300316.0,BOUSCAT,23869,399.0,4254.0,44.2740553,0.7974542
COMMUNE_0000000009755191,33509,33,75,200070092.0,SAVIGNAC DE L ISLE,507,9.0,1794.0,44.9900924,-0.2361132
COMMUNE_0000000009755881,33234,33,75,243301439.0,LATRESNE,3425,46.0,3641.0,44.7846424,-0.4968888
COMMUNE_0000000009756565,33205,33,75,200069581.0,ILLATS,1421,15.0,1917.0,44.5973806,-0.3735636
COMMUNE_0000000009756569,33199,33,75,243300563.0,GUJAN MESTRAS,20933,454.0,3997.0,44.6360982,-1.0714014
COMMUNE_0000000009756544,33158,33,75,200044394.0,ESSEINTES,237,2.0,1648.0,44.6098104,-0.0679221
COMMUNE_0000000009756314,33345,33,75,200069599.0,PUY,398,6.0,1262.0,44.5901221,7.0582549
COMMUNE_0000000009754982,33166,33,75,200070092.0,FIEU,531,10.0,1439.0,46.7256374,9.2110679
